DateTime,Return1,Return5,SmaNorm,RSI14,DeltaRSI,ATR14,StdDev20,ZClose,VolZ,BodyToRange,IntraBarPos,UpperWick,LowerWick,Close
20250612 040000,-0.001583,-0.002820,0.002092,35.778527,-8.289022,26.246128,15.761082,-2.890823,3.836225,0.586207,0.413793,0.000000,24.000000,21775.000000
20250612 041500,-0.000724,-0.003636,0.002726,32.749934,-3.028593,29.674976,20.240102,-2.930445,3.154808,0.215488,0.619529,12.250000,46.000000,21759.250000
20250612 043000,-0.000379,-0.004381,0.002952,31.257383,-1.492551,29.555335,25.033137,-2.565100,1.075676,0.250000,0.562500,5.250000,15.750000,21751.000000
20250612 044500,0.000701,-0.003222,0.002129,36.975207,5.717824,29.944239,27.184701,-1.704543,0.188072,0.407143,0.771429,8.000000,12.750000,21766.250000
20250612 050000,0.001515,-0.000470,0.000589,47.208146,10.232939,30.894651,27.331689,-0.470150,0.673928,0.757225,0.861272,6.000000,4.500000,21799.250000
20250612 051500,0.000436,0.001549,0.000144,49.738153,2.530007,30.330747,27.340386,-0.114757,-0.049440,0.402174,0.565217,10.000000,3.750000,21808.750000
20250612 053000,-0.000011,0.002261,0.000133,49.670692,-0.067462,29.789265,27.309499,-0.106190,0.175691,0.010989,0.769231,5.000000,17.500000,21808.500000
20250612 054500,0.000539,0.003179,-0.000398,52.903902,3.233210,30.232889,27.351974,0.317619,0.999388,0.319444,0.361111,23.000000,1.500000,21820.250000
20250612 060000,-0.000413,0.002065,-0.000029,50.241551,-2.662351,30.162683,27.023312,0.023128,-0.243565,0.316239,0.247863,12.750000,7.250000,21811.250000
20250612 061500,-0.000585,-0.000034,0.000497,46.659206,-3.582344,30.883205,26.956826,-0.402032,0.502553,0.285714,0.453416,10.500000,18.250000,21798.500000
20250612 063000,-0.000826,-0.001296,0.001201,42.095791,-4.563415,32.587976,27.031148,-0.967865,0.484139,0.310502,0.388128,16.500000,21.250000,21780.500000
20250612 064500,0.000998,-0.000287,0.000190,48.633212,6.537422,32.420978,27.047227,-0.153435,-0.124608,0.702479,0.950413,1.500000,7.500000,21802.250000
20250612 070000,0.000149,-0.000676,-0.000011,49.549788,0.916575,32.105194,26.567838,0.009410,-0.075317,0.116071,0.267857,20.500000,4.250000,21805.500000
20250612 071500,-0.000849,-0.001112,0.000741,44.664185,-4.885603,31.686966,26.253390,-0.614683,0.040607,0.647619,0.276190,2.000000,7.250000,21787.000000
20250612 073000,-0.000769,-0.001297,0.001392,40.746788,-3.917397,31.102183,26.811098,-1.130129,-0.498711,0.659574,0.223404,2.750000,5.250000,21770.250000
20250612 074500,0.000046,-0.000425,0.001196,41.079048,0.332260,30.773455,26.201059,-0.993758,0.161479,0.075472,0.764151,6.250000,18.250000,21771.250000
20250612 080000,-0.001482,-0.002905,0.002452,34.382929,-6.696119,31.753923,27.325683,-1.951003,0.170533,0.707865,0.157303,6.000000,7.000000,21739.000000
